"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6220","@checkbox validation","","2026-01-07","passed","2026-01-07","","herokuapp\checkbox-validation.spec.js","",""
"","16989","@amazon product selection and cart validation","","2026-01-13","failed","2026-01-13","","herokuapp\amazon-product-selectio.spec.js","",""
"","32914","@regression products should sort by price low to high","","2026-01-07","broken","2026-01-07","","e2e\sort-low-to-high.spec.js","",""
"","22659","@Newwindow","","2026-01-10","passed","2026-01-10","","herokuapp\new-window.spec.js","",""
"","2757","User should place order successfully","","2025-12-27","passed","2025-12-27","","e2e\place-order.spec.js","",""
"","32872","@regression2 subtotal should equal sum of selected product prices","","2026-01-07","broken","2026-01-07","","e2e\multi-product-subtotal-validation.spec.js","",""
"","12677","@amazon test","","2026-01-13","failed","2026-01-13","","herokuapp\amazon-product-selectio.spec.js","",""
"","2142","@uielement enable input","","2026-01-10","failed","2026-01-10","@stability","herokuapp\dynamic-controls-flaky.spec.js","",""
"","7592","@iframe test","","2026-01-12","failed","2026-01-12","","herokuapp\iframe.spec.js","",""
"","32970","@sanity user should add and remove item from cart","","2026-01-07","broken","2026-01-07","","e2e\add-remove-item.spec.js","",""
"","32779","Valid User should place order successfully","","2026-01-07","broken","2026-01-07","","e2e\place-order.spec.js","",""
"","33023","@Invalid login should show error message","","2026-01-07","broken","2026-01-07","","e2e\invalid-login.spec.js","",""
"","37918","@Alert functionality","","2026-01-10","passed","2026-01-10","","herokuapp\alerts.spec.js","",""
"","5457","@dropdown validation","","2026-01-07","passed","2026-01-07","","herokuapp\dropdown-validation.spec.js","",""
"","30384","@amazon add to cart validation","","2026-01-13","broken","2026-01-13","","herokuapp\amazon-product-selectio.spec.js","",""
